"time" "n_samples" "n_cells" "surv" "CL" "zt" "er" "b"
"205" 300 483 327 "one_step_00" "0.8/0.9" "5000" "50" "0"
"206" 312 482 320 "one_step_00" "0.8/0.9" "5000" "50" "0"
"207" 324 481 326 "one_step_00" "0.8/0.9" "5000" "50" "0"
"208" 336 481 319 "one_step_00" "0.8/0.9" "5000" "50" "0"
"209" 348 481 312 "one_step_00" "0.8/0.9" "5000" "50" "0"
"210" 360 481 312 "one_step_00" "0.8/0.9" "5000" "50" "0"
"211" 12 200 197 "one_step_00" "0.8/0.9" "5000" "50" "50"
"212" 24 200 194 "one_step_00" "0.8/0.9" "5000" "50" "50"
"213" 36 486 459 "one_step_00" "0.8/0.9" "5000" "50" "50"
"214" 48 486 453 "one_step_00" "0.8/0.9" "5000" "50" "50"
"215" 60 486 455 "one_step_00" "0.8/0.9" "5000" "50" "50"
"216" 72 486 464 "one_step_00" "0.8/0.9" "5000" "50" "50"
"217" 84 486 457 "one_step_00" "0.8/0.9" "5000" "50" "50"
"218" 96 486 459 "one_step_00" "0.8/0.9" "5000" "50" "50"
"219" 108 486 459 "one_step_00" "0.8/0.9" "5000" "50" "50"
"220" 120 486 460 "one_step_00" "0.8/0.9" "5000" "50" "50"
"221" 132 486 450 "one_step_00" "0.8/0.9" "5000" "50" "50"
"222" 144 486 459 "one_step_00" "0.8/0.9" "5000" "50" "50"
"223" 156 486 458 "one_step_00" "0.8/0.9" "5000" "50" "50"
"224" 168 486 448 "one_step_00" "0.8/0.9" "5000" "50" "50"
"225" 180 486 449 "one_step_00" "0.8/0.9" "5000" "50" "50"
"226" 192 486 443 "one_step_00" "0.8/0.9" "5000" "50" "50"
"227" 204 486 438 "one_step_00" "0.8/0.9" "5000" "50" "50"
"228" 216 486 425 "one_step_00" "0.8/0.9" "5000" "50" "50"
"229" 228 486 425 "one_step_00" "0.8/0.9" "5000" "50" "50"
"230" 240 485 416 "one_step_00" "0.8/0.9" "5000" "50" "50"
"231" 252 485 400 "one_step_00" "0.8/0.9" "5000" "50" "50"
"232" 264 485 403 "one_step_00" "0.8/0.9" "5000" "50" "50"
"233" 276 485 376 "one_step_00" "0.8/0.9" "5000" "50" "50"
"234" 288 484 388 "one_step_00" "0.8/0.9" "5000" "50" "50"
"235" 300 484 356 "one_step_00" "0.8/0.9" "5000" "50" "50"
"236" 312 484 351 "one_step_00" "0.8/0.9" "5000" "50" "50"
"237" 324 484 357 "one_step_00" "0.8/0.9" "5000" "50" "50"
"238" 336 484 351 "one_step_00" "0.8/0.9" "5000" "50" "50"
"239" 348 484 348 "one_step_00" "0.8/0.9" "5000" "50" "50"
"240" 360 484 335 "one_step_00" "0.8/0.9" "5000" "50" "50"
"241" 12 200 193 "one_step_00" "0.8/0.9" "5000" "50" "90"
"242" 24 479 279 "one_step_00" "0.8/0.9" "5000" "50" "90"
"243" 36 486 460 "one_step_00" "0.8/0.9" "5000" "50" "90"
"244" 48 486 459 "one_step_00" "0.8/0.9" "5000" "50" "90"
"245" 60 486 453 "one_step_00" "0.8/0.9" "5000" "50" "90"
"246" 72 486 458 "one_step_00" "0.8/0.9" "5000" "50" "90"
"247" 84 486 468 "one_step_00" "0.8/0.9" "5000" "50" "90"
"248" 96 486 464 "one_step_00" "0.8/0.9" "5000" "50" "90"
"249" 108 486 462 "one_step_00" "0.8/0.9" "5000" "50" "90"
"250" 120 486 454 "one_step_00" "0.8/0.9" "5000" "50" "90"
"251" 132 486 450 "one_step_00" "0.8/0.9" "5000" "50" "90"
"252" 144 486 455 "one_step_00" "0.8/0.9" "5000" "50" "90"
"253" 156 486 450 "one_step_00" "0.8/0.9" "5000" "50" "90"
"254" 168 486 463 "one_step_00" "0.8/0.9" "5000" "50" "90"
"255" 180 486 458 "one_step_00" "0.8/0.9" "5000" "50" "90"
"256" 192 486 456 "one_step_00" "0.8/0.9" "5000" "50" "90"
"257" 204 486 453 "one_step_00" "0.8/0.9" "5000" "50" "90"
"258" 216 486 449 "one_step_00" "0.8/0.9" "5000" "50" "90"
"259" 228 486 453 "one_step_00" "0.8/0.9" "5000" "50" "90"
"260" 240 486 460 "one_step_00" "0.8/0.9" "5000" "50" "90"
"261" 252 486 444 "one_step_00" "0.8/0.9" "5000" "50" "90"
"262" 264 486 450 "one_step_00" "0.8/0.9" "5000" "50" "90"
"263" 276 486 455 "one_step_00" "0.8/0.9" "5000" "50" "90"
"264" 288 486 462 "one_step_00" "0.8/0.9" "5000" "50" "90"
"265" 300 486 428 "one_step_00" "0.8/0.9" "5000" "50" "90"
"266" 312 486 450 "one_step_00" "0.8/0.9" "5000" "50" "90"
"267" 324 486 450 "one_step_00" "0.8/0.9" "5000" "50" "90"
"268" 336 486 430 "one_step_00" "0.8/0.9" "5000" "50" "90"
"269" 348 486 438 "one_step_00" "0.8/0.9" "5000" "50" "90"
"270" 360 486 437 "one_step_00" "0.8/0.9" "5000" "50" "90"
"271" 12 200 197 "one_step_00" "0.8/0.9" "5000" "100" "0"
"272" 24 200 198 "one_step_00" "0.8/0.9" "5000" "100" "0"
"273" 36 486 465 "one_step_00" "0.8/0.9" "5000" "100" "0"
"274" 48 486 460 "one_step_00" "0.8/0.9" "5000" "100" "0"
"275" 60 486 454 "one_step_00" "0.8/0.9" "5000" "100" "0"
"276" 72 486 450 "one_step_00" "0.8/0.9" "5000" "100" "0"
"277" 84 486 454 "one_step_00" "0.8/0.9" "5000" "100" "0"
"278" 96 486 453 "one_step_00" "0.8/0.9" "5000" "100" "0"
"279" 108 486 446 "one_step_00" "0.8/0.9" "5000" "100" "0"
"280" 120 486 451 "one_step_00" "0.8/0.9" "5000" "100" "0"
"281" 132 486 447 "one_step_00" "0.8/0.9" "5000" "100" "0"
"282" 144 486 440 "one_step_00" "0.8/0.9" "5000" "100" "0"
"283" 156 486 432 "one_step_00" "0.8/0.9" "5000" "100" "0"
"284" 168 486 437 "one_step_00" "0.8/0.9" "5000" "100" "0"
"285" 180 486 423 "one_step_00" "0.8/0.9" "5000" "100" "0"
"286" 192 486 396 "one_step_00" "0.8/0.9" "5000" "100" "0"
"287" 204 485 414 "one_step_00" "0.8/0.9" "5000" "100" "0"
"288" 216 485 394 "one_step_00" "0.8/0.9" "5000" "100" "0"
"289" 228 484 377 "one_step_00" "0.8/0.9" "5000" "100" "0"
"290" 240 484 352 "one_step_00" "0.8/0.9" "5000" "100" "0"
"291" 252 484 362 "one_step_00" "0.8/0.9" "5000" "100" "0"
"292" 264 483 338 "one_step_00" "0.8/0.9" "5000" "100" "0"
